previewURI	title	subtitle	ingredients	allergies	diets	categories
https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4476725.jpg&w=595&h=595&c=sc&poi=face&q=85	Grandma's Famous Salmon Cakes	This is a recipe for my Grandmother's famous salmon cakes.	"[""Salmon"", ""Eggs"", ""Onion"", ""Black pepper"", ""Vegetable oil""]"	"[""Eggs""]"	"[""Pescetarian""]"	"[""Lunch""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chorizo-mozarella-gnocchi-bake-cropped-9ab73a3.jpg?quality=90&webp=true&resize=600,545	Chorizo & mozzarella gnocchi bake	Upgrade cheesy tomato pasta with gnocchi, chorizo and mozzarella for a comforting bake that makes an excellent midweek meal	"[""olive oil"", ""garlic cloves"", ""onion"", ""chorizo"", ""chopped tomatoes"", ""caster sugar"", ""gnocchi"", ""mozzarella ball"", ""green salad""]"	[]	"[""Vegetarian"", ""Halal"", ""Non-spicy""]"	"[""Lunch"", ""Dinner"", ""Pasta""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/butter-chicken-cf6f9e2.jpg?quality=90&webp=true&resize=440,400	Easy butter chicken	Fancy a healthy version of your favourite Friday night chicken curry? The chicken can be marinaded the day before so you can get ahead on your prep	"[""chicken thighs"", ""lemon"", ""tsp ground cumin"", ""tsp paprika"", ""hot chilli powder"", ""natural yogurt"", ""basmati rice"", ""naan bread""]"	"[""Milk""]"	"[""Gluten free"", ""Non-spicy""]"	"[""Lunch"", ""Dinner"", ""Rice""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/classic-lasange-4a66137.jpg?quality=90&webp=true&resize=440,400	Easy classic lasagne	Kids will love to help assemble this easiest ever pasta bake with streaky bacon, beef mince, a crème fraîche sauce and gooey mozzarella	"[""olive oil"", ""rashers smoked streaky bacon"", ""carrot"", ""beef mince"", ""tomato purée"", ""freshly grated parmesan"", ""mozzarella ball""]"	"[""Eggs"", ""Milk"", ""Pasta""]"	"[""Non-spicy""]"	"[""Lunch"", ""Dinner"", ""Meat""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/thai-aea8468.jpg?quality=90&webp=true&resize=440,400	Thai fried prawn & pineapple rice	This quick, low calorie supper is perfect for a busy weeknight. Cook your rice in advance to get ahead - run it under cold water to chill quickly, then freeze in a food bag for up to one month	"[""pineapple"", ""Thai green curry paste"", ""basmati rice"", ""eggs"", ""frozen prawns""]"	"[""Eggs"", ""Fish"", ""Shellfish""]"	"[""Shellfish"", ""Pescetarian"", ""Halal"", ""Kosher""]"	"[""Lunch"", ""Dinner"", ""Rice"", ""Fish"", ""Seafood""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/one-pan-spaghetti-with-nduja-fennel-olives-2308fb3.jpg?quality=90&webp=true&resize=440,400	One-pan spaghetti with nduja, fennel & olives	A spicy sausage pasta dish with a difference. Using the cooking water helps the sauce cling to the pasta and gives the dish more body. A silky smooth sauce, perfect pasta and one pan to wash!	"[""spaghetti"", ""garlic cloves"", ""fennel"", ""nduja"", ""tomatoes"", ""black olives"", ""pecorino"", ""basil""]"	"[""Eggs"", ""Wheat""]"	"[""Pescetarian""]"	"[""Lunch"", ""Dinner"", ""Pasta""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-1273477_8-ad36e3b.jpg?quality=90&webp=true&resize=440,400	Easy pancakes	Learn a skill for life with our foolproof crêpe recipe that ensures perfect pancakes every time – elaborate flip optional	"[""plain flour"", ""eggs"", ""milk"", ""vegetable oil"", ""caster sugar""]"	"[""Eggs"", ""Wheat"", ""Milk""]"	"[""Halal"", ""Kosher"", ""Vegetarian"", ""Non-spicy""]"	"[""Breakfast"", ""Dessert""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chicken-fajitas-2-d7172f8.jpg?quality=90&webp=true&resize=440,400	Easy chicken fajitas	Need a simple, vibrant midweek meal the family will love? Put together these easy chicken fajitas and people can create their own masterpieces at the table	"[""chicken breasts"", ""red onion"", ""red pepper"", ""red chilli"", ""ground coriander""]"	"[""Eggs"", ""Wheat""]"	"[""Halal"", ""Kosher"", ""Non-spicy""]"	"[""Lunch"", ""Dinner""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/carrot-cake-f1b3d0c.jpg?quality=90&webp=true&resize=440,400	Easy carrot cake	Top this classic carrot cake with moreish icing and chopped walnuts or pecans. Serve as a sweet treat with a cup of tea any time of the day.	"[""natural yogurt"", ""eggs"", ""vanilla extract"", ""orange"", ""self-raising flour"", ""nutmeg"", ""carrots"", ""walnuts""]"	"[""Eggs"", ""Milk"", ""Wheat"", ""Peanuts""]"	"[""Halal"", ""Kosher"", ""Vegetarian"", ""Non-spicy""]"	"[""Lunch"", ""Dinner"", ""Breakfast"", ""Dessert""]"
https://images.immediate.co.uk/production/volatile/sites/30/2020/08/piri-piri-chicken-with-smashed-sweet-potatoes-broccoli-84cb220.jpg?quality=90&webp=true&resize=440,400	Piri-piri chicken with smashed sweet potatoes & broccoli	Serve up an easy one-pan traybake of piri-piri chicken with sweet potatoes and broccoli. As well as being simple to make, it delivers three of your 5-a-day	"[""sweet potatoes"", ""chicken thighs"", ""red onions"", ""sachet piri-piri spice mix"", ""long-stem broccoli""]"	[]	"[""Halal"", ""Kosher"", ""Non-spicy"", ""Dairy free""]"	"[""Lunch"", ""Dinner""]"
